channel_id,channel_label,profile,direction_scope,source_component_id,source_component_label,reward_risk_target,stop_atr_multiple,max_holding_hours,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,signal_plus_di,signal_minus_di,signal_ema_separation_atr,signal_ema_slope_3_atr,signal_volume_ratio,signal_clv,signal_channel_width_atr,signal_adx_change_3,signal_ema50_slope_6_atr,signal_price_extension_ema20_atr,signal_atr_ratio,signal_trend_age,month,phase,is_baseline
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-01-14T18:00:00+00:00,2025-01-14T18:00:00+00:00,2025-01-15T14:05:00+00:00,1,96481.4,95385.55668526978,99221.00828682553,99220.80828682553,1095.843314730213,2.4998174921566716,0.08929296992380963,2.410524522232862,True,TARGET,241,876.6746517841705,28.34065816342626,62.08656504989157,24.186915128256764,16.90898016946406,0.9025168872639903,0.2976616494727199,0.9039995571984707,0.9805208333333364,4.564749296510054,-0.958865360521223,0.4702026127074369,1.1667731689090752,0.009086472215695378,14.0,2025-01,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-01-18T14:00:00+00:00,2025-01-18T14:00:00+00:00,2025-01-18T16:50:00+00:00,1,104327.5,103291.38455475065,106917.78861312337,103291.18455475065,1036.115445249345,-1.000193028683164,0.10019090319843,-1.100383931881594,False,STOP,34,828.892356199476,28.719456531919764,59.07052248415294,20.813436488754846,14.03546596779078,1.3625648931979126,0.1349730523233946,0.957063822529273,0.9546853362055635,4.272207330076759,-3.910999023942143,0.3766494259553959,1.037117872543566,0.00794510700160721,1.0,2025-01,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-01-30T19:00:00+00:00,2025-01-30T19:00:00+00:00,2025-01-31T00:10:00+00:00,1,105523.59999999999,104585.24942409876,107869.47643975305,104585.04942409876,938.350575901227,-1.0002131399555132,0.11195637047608915,-1.1121695104316023,False,STOP,62,750.6804607209816,35.16567558479508,61.620285752690194,21.403637964459065,13.091068726502543,1.3221587173699378,0.2627499595299085,1.0331694917960463,0.9829634073185223,4.296768290601449,-0.20464139421353167,0.5543390790054558,0.8220548352766506,0.007113876739386541,25.0,2025-01,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-03-20T15:00:00+00:00,2025-03-20T15:00:00+00:00,2025-03-20T15:05:00+00:00,1,86123.8,85289.8787439404,88208.603140149,85289.6787439404,833.9212560595993,-1.000239830797633,0.1027755783285189,-1.103015409126152,False,STOP,1,667.1370048476795,34.29902403826111,60.37626390514875,27.177156407788186,14.487504343603804,1.1854050459433159,0.10834833526204322,1.587220660976056,0.6547921967769288,5.995769940708474,-3.8077531790489374,0.36518233120670135,0.9975274765851544,0.007746265021680205,2.0,2025-03,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-04-22T01:00:00+00:00,2025-04-22T01:00:00+00:00,2025-04-22T13:15:00+00:00,1,87672.9,86943.19615365397,89497.15961586504,89496.95961586504,729.7038463460148,2.4997259162042322,0.12139846905223364,2.3783274471519986,True,TARGET,147,583.7630770768118,23.384910243254524,61.08642016091358,23.470107298868452,19.293492213220723,1.2551850507145073,0.1986888321452272,1.1147929330828357,0.9628214548126335,3.5822752108126843,-4.157285800061221,0.4641340077314153,0.9683500833459114,0.00665843617313955,25.0,2025-04,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-07-10T15:00:00+00:00,2025-07-10T15:00:00+00:00,2025-07-10T16:35:00+00:00,1,111195.3,110650.34437053444,112557.6890736639,112557.4890736639,544.955629465559,2.499632997643881,0.2052945019515621,2.294338495692319,True,TARGET,19,435.9645035724472,36.4984384750559,61.52495080553802,26.666748618667114,17.107230027001457,1.715125832810322,0.14087887611637892,1.5572284963207292,0.8873036460585131,6.772110976483177,-4.161660277195054,0.5925143913897465,1.007527427989316,0.003920720388258889,33.0,2025-07,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-07-27T14:00:00+00:00,2025-07-27T14:00:00+00:00,2025-07-27T16:05:00+00:00,1,118182.5,117856.09355241372,118998.51611896571,118998.31611896571,326.40644758628406,2.499387267005668,0.3633212791488563,2.1360659878568113,True,TARGET,25,261.12515806902724,26.293898623470152,56.990873598976634,28.68092995910168,18.67430328790377,0.8748517276184093,0.10535579907186997,0.9974922662903131,0.8991769547325322,2.417614620775535,-1.1116694837605365,0.2666641567175302,0.5976995600229322,0.0022095115602677154,4.0,2025-07,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-08-28T15:00:00+00:00,2025-08-28T15:00:00+00:00,2025-08-28T15:50:00+00:00,1,113115.8,112374.0665512373,114970.13362190676,112373.8665512373,741.7334487627029,-1.0002696386422054,0.1520018187985051,-1.1522714574407105,False,STOP,10,593.3867590101623,23.118178591198163,60.9354401956582,19.18532866586764,12.448630514586533,0.8689095104186453,0.30596230249665163,1.4172708835596317,0.8068337697967386,4.411962283026211,0.7299462610313228,0.4507976067841055,1.0210274552059786,0.005245848349785505,12.0,2025-08,development,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2025-11-11T03:00:00+00:00,2025-11-11T03:00:00+00:00,2025-11-11T05:05:00+00:00,1,106596.0,105578.55882256992,109139.60294357521,105578.35882256992,1017.4411774300876,-1.0001965715605272,0.10426861204816397,-1.1044651836086912,False,STOP,25,813.9529419440701,29.049973477737115,61.52818773851589,25.455475817308137,17.44731397617958,1.1183904845899406,0.2139965806585871,1.8686863095902102,0.6781792645556735,3.5112595000564353,-2.914598676137114,0.4034202097487102,1.0180030510544436,0.0076358819197761075,9.0,2025-11,validation,True
60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,long_extension_adx45,LONG,60m_long_extension_adx45_rr2_5,多头冻结基线·延伸保护+ADX≤45 RR2.5,2.5,1.25,36,2026-01-05T00:00:00+00:00,2026-01-05T00:00:00+00:00,2026-01-05T01:05:00+00:00,1,91497.4,91110.0043961217,92465.8890096957,92465.6890096957,387.3956038782861,2.4994837318802783,0.23743569514987853,2.2620480367303997,True,TARGET,13,309.9164831026289,34.170067554686774,62.715963564326785,24.798819864340217,15.528340500745212,1.6505117672709473,0.16223631599406046,1.3943005453358888,0.8189119170984607,3.1931183204356546,-4.134118113222044,0.5162637961927343,1.0447985751336881,0.0033871727421156393,36.0,2026-01,validation,True
